k threshold	% of arg1s with any correct match	% of arg1s with all correct matches	% of all possible correct matches found	% of top k that are correct
1	0.6451612903225806	0.6451612903225806	0.6451612903225806	0.6451612903225806
2	0.7419354838709677	0.0	0.7419354838709677	0.3812154696132597
3	0.7956989247311828	0.0	0.7956989247311828	0.27715355805243447
5	0.8172043010752689	0.0	0.8172043010752689	0.17551963048498845
8	0.8494623655913979	0.0	0.8494623655913979	0.11651917404129794
10	0.8709677419354839	0.0	0.8709677419354839	0.09688995215311005
15	0.8817204301075269	0.0	0.8817204301075269	0.06661251015434606
20	0.8924731182795699	0.0	0.8924731182795699	0.051266213712168
30	0.9032258064516129	0.0	0.9032258064516129	0.03563852354688163
50	0.9247311827956989	0.0	0.9247311827956989	0.022982362373062535
100	0.9247311827956989	0.0	0.9247311827956989	0.012654502648616834
500	0.9354838709677419	0.0	0.9354838709677419	0.003869762476647985
