@relation thresholds
@attribute contents string
@attribute inlinks numeric
@attribute strMatches numeric
@attribute cleanMatch numeric
@attribute subMatches numeric
@attribute wikiMatch numeric
@attribute abbrMatch numeric
@attribute class numeric
@data
"United States",431681,0,0,0,1,1,1
"U.S. state",21535,0,0,0,0,1,0
"University of Sydney",1906,0,0,0,0,1,0
"U.C. Sampdoria",1318,0,0,0,0,1,0
"Ukrainian SSR",878,0,0,0,0,1,0
"Friday",210,1,0,0,0,0,1
"Fridays",68,1,0,0,0,0,0
"Good Friday",697,0,0,1,0,0,0
"Friday the 13th (film)",303,0,0,1,0,0,0
"Friday Night Lights (TV series)",215,0,0,1,0,0,0
"Libya",4395,1,0,0,0,0,1
"Libya national football team",107,0,0,1,0,0,0
"Cyrene, Libya",96,0,0,1,0,0,0
"Ancient Libya",94,0,0,1,0,0,0
"Idris I of Libya",83,0,0,1,0,0,0
"William Carlos Williams",382,0,0,2,0,0,0
"William Grover-Williams",71,0,0,2,0,0,0
"William Fenwick Williams",54,0,0,2,0,0,0
"William Appleman Williams",52,0,0,2,0,0,0
"William Williams Pantycelyn",49,0,0,2,0,0,0
"Deron Williams",71,0,1,0,0,1
"Muammar al-Gaddafi",662,0,0,0,1,0,1
"Anthony Hopkins",753,0,0,1,0,0,0
"Anthony Eden",489,0,0,1,0,0,0
"Anthony Burgess",444,0,0,1,0,0,0
"Anthony Quinn",428,0,0,1,0,0,0
"Marc Anthony",386,0,0,1,0,0,0
"Carmelo Anthony",208,0,1,0,0,1
"Libya",4395,0,0,0,1,0,1
"Libyan Airlines",103,0,0,1,0,0,0
"Chadian-Libyan conflict",97,0,0,1,0,0,0
"Libyan Desert",84,0,0,1,0,0,0
"Libyan Islamic Fighting Group",60,0,0,1,0,0,0
"Michigan",15036,1,0,0,0,0,1
"Detroit, Michigan",10528,0,0,1,0,0,0
"University of Michigan",6154,0,0,1,0,0,0
"Michigan State University",2685,0,0,1,0,0,0
"Ann Arbor, Michigan",2069,0,0,1,0,0,0
"Protest",59,0,0,0,1,0,1
"Google",3102,1,0,0,0,0,1
