@relation thresholds-weka.filters.unsupervised.attribute.Remove-R1

@attribute inlinks numeric
@attribute strMatches numeric
@attribute subMatches numeric
@attribute abbrMatch numeric
@attribute class {0,1}

@data
431681,1,0,1,1
21535,1,0,1,0
2390,1,0,0,0
1525,1,0,0,0
2463,1,0,0,0
697,1,0,0,0
303,1,0,0,0
215,1,0,0,0
210,1,0,0,1
201,1,0,0,0
4395,1,0,0,1
107,1,0,0,0
96,1,0,0,0
94,1,0,0,0
83,1,0,0,0
7967,1,0,0,0
1580,1,0,0,0
1016,1,0,0,0
1479,1,0,0,0
920,1,0,0,0
71,1,0,0,1
662,1,0,0,1
753,1,0,0,0
489,1,0,0,0
444,1,0,0,0
428,1,0,0,0
386,1,0,0,0
208,1,0,0,1
4395,1,0,0,1
103,1,0,0,0
84,1,0,0,0
60,1,0,0,0
97,1,0,0,0
15036,1,0,0,1
10528,1,0,0,0
6154,1,0,0,0
2685,1,0,0,0
2069,1,0,0,0
59,1,0,0,1
3102,1,0,0,1
1079,1,0,0,0
740,1,0,0,0
663,1,0,0,0
362,1,0,0,0
1743,1,0,0,1
9,1,0,0,0
5,1,0,0,0
5,1,0,0,0
5,1,0,0,0
28335,1,0,0,1
11180,1,0,0,0
10868,1,0,0,0
9003,1,0,0,0
5986,1,0,0,0
9119,1,0,0,1
429,1,0,0,0
110,1,0,0,0
56,1,0,0,0
44,1,0,0,0
431681,1,2,0,1
41713,0,2,0,0
228074,0,1,0,0
16504,0,2,0,0
39073,0,2,0,0
346,1,0,0,0
56,1,0,0,0
17,1,0,0,1
25,1,0,0,0
52,1,0,0,0
10,1,0,0,1
1672,1,0,0,1
108,1,0,0,0
52,1,0,0,0
36,1,0,0,0
36,1,0,0,0
32,1,0,0,1
2360,1,0,0,1
180,1,0,0,0
162,1,0,0,0
95,1,0,0,0
68,1,0,0,0
1293,1,0,0,1
280,1,0,0,0
280,1,0,0,0
196,1,0,0,0
117,1,0,0,0
316,1,0,0,0
241,1,0,0,0
226,1,0,0,1
95,1,0,0,0
73,1,0,0,0
134,0,1,0,1
24,0,1,0,0
22,0,1,0,0
19,0,1,0,0
16,0,1,0,0
27,1,0,0,0
4,1,0,0,0
2,1,0,0,1
75,1,0,0,0
61,1,0,0,0
42,1,0,0,0
41,1,0,0,0
35,1,0,0,0
10,1,0,0,1
1740,1,0,0,0
1153,1,0,0,0
1066,1,0,0,0
920,1,0,0,0
845,1,0,0,0
121,1,0,0,1
17883,1,1,0,1
2969,0,1,0,0
2533,0,1,0,0
1743,0,1,0,0
1734,0,1,0,0
2374,1,1,0,1
121,0,1,0,0
117,0,1,0,0
106,0,1,0,0
79,0,1,0,0
182,1,0,0,0
163,1,0,0,0
58,1,0,0,0
53,1,0,0,0
50,1,0,0,0
37,1,0,0,1
209,1,0,0,0
79,1,0,0,0
73,1,0,0,0
73,1,0,0,0
57,1,0,0,0
8,1,0,0,1
87035,1,0,0,1
7492,1,0,0,0
6286,1,0,0,0
5563,1,0,0,0
4706,1,0,0,0
2914,1,0,1,0
2010,1,0,1,0
1936,1,0,1,1
1762,1,0,1,0
1632,1,0,1,0
17295,1,0,0,1
2506,1,0,0,0
493,1,0,0,0
417,1,0,0,0
409,1,0,0,0
334,1,0,0,1
62,1,0,0,0
36,1,0,0,0
30,1,0,0,0
29,1,0,0,0
699,1,0,0,1
11,1,0,0,0
1,1,0,0,0
913,1,0,0,1
550,1,0,0,0
605,1,0,0,0
544,1,0,0,0
244,1,0,0,0
4395,1,0,0,1
107,1,0,0,0
96,1,0,0,0
94,1,0,0,0
83,1,0,0,0
9088,0,1,0,0
409,1,2,0,1
508,0,1,0,0
401,0,1,0,0
281,0,1,0,0
3102,1,0,0,1
1079,1,0,0,0
740,1,0,0,0
663,1,0,0,0
362,1,0,0,0
59,1,0,0,1
